public,performance,q1,q2,q3,q4,q5,q6,q7,q8,q9,age,white,ideology,religion,gender,group,effectiveness,benevolence,redtape,efficiency
0,1,5,6,5,4,5,5,5,4,4,19,0,4,3,1,1,-.065628052,-1.1219833,-.25340042,.58882791
1,0,5,6,5,5,6,5,2,6,5,18,1,1,3,0,2,-.32426089,.12423173,.33003923,-.18793806
0,0,4,6,6,6,7,4,4,7,7,19,1,3,2,0,0,-.47353283,1.330268,.54805183,.0046789004
1,1,7,7,7,5,6,2,4,4,4,19,1,2,3,1,3,1.5290172,-1.354467,.31483656,-.50338501
1,0,7,6,6,7,7,4,2,6,6,20,0,3,1,0,2,.49883026,.39707568,1.2485611,-.33135173
0,0,6,6,7,6,7,4,4,7,6,22,1,3,4,1,0,.52536374,.78920019,.64089352,.11607531
0,1,6,5,6,6,6,4,5,7,6,19,1,3,2,0,1,-.16862839,.88625032,.4451617,.41146043
1,0,6,6,7,6,7,3,4,6,5,17,0,3,1,0,2,.64111835,-.033392176,.71004289,-.22929555
0,0,5,6,6,2,5,4,4,5,5,18,0,3,1,0,0,.14778905,-.33185086,-.86842132,.10649561
0,0,7,7,7,5,5,5,6,7,7,18,1,4,1,0,0,1.2248803,1.1041477,-.27969584,1.0387632
0,1,4,5,7,1,2,3,4,4,5,20,0,3,3,0,1,-.1804847,-.62970549,-1.890388,-.28033724
1,0,5,6,6,2,4,6,6,6,6,19,1,3,4,1,2,.078501485,.4848339,-1.3229194,1.266077
0,1,5,4,6,3,5,5,3,3,3,18,1,4,1,1,1,-.44751811,-1.8349876,-.22539683,.12291527
0,0,5,6,5,6,5,4,2,6,6,18,0,3,2,0,0,-.4198052,.55000603,.35549852,-.50057596
1,1,6,7,5,5,6,5,4,6,5,19,0,4,1,0,3,.42611504,-.0043557072,.19648588,.38637939
0,1,7,7,7,5,4,1,1,4,5,19,0,3,2,0,1,1.3798229,-.88206261,-.0024117585,-1.5942743
1,1,6,6,6,4,3,5,7,7,7,18,1,4,1,0,3,.24077693,1.2595844,-1.0859386,1.2592039
0,0,4,5,5,4,5,3,6,4,7,19,1,4,1,1,0,-.95371324,.20853162,-.30025759,.33539417
0,1,6,5,4,6,7,4,3,5,4,18,0,2,1,0,1,-.60840625,-.67332762,1.071643,-.1422158
1,0,7,7,7,7,7,4,6,7,7,21,1,2,3,0,2,1.1875166,1.0760113,.79221046,.70669341
1,1,6,6,6,5,6,3,5,7,7,18,1,3,1,0,3,.17793895,1.2361659,.092170753,.14563453
0,0,5,5,6,4,6,5,5,3,3,18,0,2,1,0,0,-.021277074,-1.93007,.10418081,.5983935
1,0,7,6,6,6,7,3,1,7,7,21,1,4,4,1,2,.37383431,1.2233652,.96149945,-.83301938
1,1,7,7,6,6,6,4,4,7,7,18,1,3,2,0,3,.84000027,1.1462125,.43361196,.20521721
0,0,5,5,5,5,5,3,6,5,4,20,0,2,3,0,0,-.51775652,-.67372209,-.041205741,.23072441
0,1,4,3,5,5,7,4,5,5,5,18,1,4,1,0,1,-1.6966516,-.10647987,.62828857,.35789382
1,0,6,6,6,6,7,3,4,6,6,19,1,4,2,1,2,.25646788,.41578403,.76458114,-.16690835
0,0,7,5,7,6,6,4,4,6,6,18,1,4,1,0,0,.48422527,.41160482,.61135221,.23339279
0,0,6,5,6,4,4,4,4,6,6,21,1,4,1,1,0,-.1062943,.51739961,-.48716611,.18377134
1,0,7,6,6,6,7,4,4,6,7,18,1,4,1,0,2,.49970073,.78730178,.84573138,.27717006
0,0,6,5,5,6,6,5,4,6,6,22,1,4,1,1,0,-.45439801,.5307402,.63702494,.4814271
1,1,7,6,5,6,5,4,2,4,4,18,0,3,4,0,3,.43263033,-1.1805608,.64464843,-.40118414
0,0,5,6,5,4,4,3,4,5,4,18,1,3,1,0,0,-.15170768,-.69833708,-.52645218,-.3235009
1,0,4,4,4,5,4,4,4,5,5,21,1,2,3,0,2,-1.6534238,-.079073131,-.10905392,.0062055481
0,0,4,4,4,4,4,4,4,4,4,20,0,3,3,0,0,-1.5133363,-.89960045,-.31731451,.0017206116
1,1,5,6,6,6,3,3,3,5,4,21,0,5,1,1,3,.096191801,-.70589799,-.20994548,-.68646163
0,0,6,6,6,7,7,4,5,6,6,20,0,2,1,0,0,.2623691,.4088321,.98075789,.37195522
0,1,6,4,4,5,3,4,4,4,5,20,1,4,1,0,1,-.99129438,-.56246299,-.1427397,.17104131
0,1,6,6,6,6,7,5,3,5,6,19,1,4,1,1,1,.29145855,.028561305,.90936649,.19785771
1,0,5,5,5,4,6,3,4,5,5,18,1,4,1,0,2,-.60712087,-.2515406,.072457604,-.19358858
0,0,6,6,5,4,5,3,4,5,6,18,1,3,2,0,0,.024935765,.070504203,-.18363754,-.11782226
0,1,7,6,7,6,6,4,1,7,6,19,1,3,2,1,1,.75784391,.79107428,.65102148,-.60799521
0,1,7,7,7,6,6,4,4,6,6,18,1,3,2,0,1,1.2765151,.29190743,.45568338,.15464573
1,0,5,5,5,3,6,3,4,5,5,19,1,3,1,0,2,-.58612806,-.25273037,-.20668799,-.16087762
0,1,4,3,4,4,4,4,4,4,4,18,1,2,1,1,1,-1.9094812,-.83975178,-.23948009,.041094143
0,0,5,6,7,4,2,2,4,7,7,20,1,3,3,0,0,.16641077,1.3086183,-1.277211,-.57655078
1,1,5,5,6,4,5,4,4,6,6,20,1,4,1,0,3,-.40943632,.54971486,-.30318069,.11764311
0,1,5,6,7,6,6,2,2,7,7,18,1,4,1,0,1,.093241222,1.2792686,.44119057,-1.0857176
1,1,6,7,6,4,6,4,2,6,6,18,1,3,1,1,3,.64684969,.3932341,.0019246988,-.38024774
